NetSales,OrderQuantity,UnitPrice,ProductCategory,ProductSubcategory,City,State
-28.125608,14,5.0136,Clothing,Caps,Berks,England
28.125,6,15,Accessories,Locks,Berks,England
56.9848,8,22.794,Clothing,Gloves,Berks,England
66.862,16,20.8945,Clothing,Gloves,London,England
49.8617,7,22.794,Clothing,Gloves,Berks,England
14.2462,2,22.794,Clothing,Gloves,London,England
7.1231,1,22.794,Clothing,Gloves,Berks,England
7.1231,1,22.794,Clothing,Gloves,London,England
14.9088,3,14.1289,Clothing,Gloves,Berks,England
39.7568,8,14.1289,Clothing,Gloves,Berks,England
14.9088,3,14.1289,Clothing,Gloves,Berks,England
214.8024,6,137.694,Components,Forks,Berks,England
38.9158,2,74.838,Components,Headsets,Berks,England
-5.791,2,736.1455,Components,Mountain Frames,Berks,England
-2.8955,1,736.1455,Components,Mountain Frames,Berks,England
-2.9275,1,744.2727,Components,Mountain Frames,Berks,England
-17.565,6,744.2727,Components,Mountain Frames,Berks,England
-8.7825,3,744.2727,Components,Mountain Frames,Berks,England
93.667,2,180.129,Components,Wheels,Berks,England
12.2019,1,65.6018,Components,Handlebars,Paris,Seine 
153.1365,3,196.329,Components,Wheels,Berks,England
204.182,4,196.329,Components,Wheels,London,England
69.3669,3,88.932,Components,Forks,Berks,England
37.9048,4,36.447,Components,Wheels,Berks,England
9.4762,1,36.447,Components,Wheels,London,England
18.0748,4,24.2945,Components,Handlebars,Berks,England
41.0646,3,52.647,Components,Wheels,Berks,England
27.3764,2,52.647,Components,Wheels,London,England
-156.39232,14,27.879,Clothing,Jerseys,Berks,England
-77.2152,8,28.8404,Clothing,Jerseys,Berks,England
-57.9114,6,28.8404,Clothing,Jerseys,Berks,England
50.6193,3,53.994,Clothing,Bib-Shorts,Berks,England
101.2386,6,53.994,Clothing,Bib-Shorts,Berks,England
84.3655,5,53.994,Clothing,Bib-Shorts,Berks,England
22.4962,2,35.994,Clothing,Shorts,Berks,England
44.9924,4,35.994,Clothing,Shorts,Berks,England
7.4962,2,11.994,Accessories,Pumps,Berks,England
47.8716,3,61.374,Components,Headsets,Berks,England
70.3101,3,209.256,Components,Mountain Frames,Berks,England
93.7468,4,209.256,Components,Mountain Frames,Berks,England
93.7468,4,209.256,Components,Mountain Frames,Berks,England
70.3101,3,209.256,Components,Mountain Frames,London,England
25.128,4,33.7745,Components,Handlebars,Berks,England
6.282,1,33.7745,Components,Handlebars,London,England
110.4597,3,141.615,Components,Wheels,Berks,England
-112.612,5,1229.4589,Bikes,Mountain Bikes,Berks,England
-67.5672,3,1229.4589,Bikes,Mountain Bikes,London,England
-45.0448,2,1229.4589,Bikes,Mountain Bikes,Berks,England
-135.1344,6,1229.4589,Bikes,Mountain Bikes,London,England
-67.5672,3,1229.4589,Bikes,Mountain Bikes,Berks,England
-136.6062,6,1242.8518,Bikes,Mountain Bikes,Berks,England
-45.5354,2,1242.8518,Bikes,Mountain Bikes,London,England
-45.5354,2,1242.8518,Bikes,Mountain Bikes,London,England
-91.0708,4,1242.8518,Bikes,Mountain Bikes,Berks,England
-45.5354,2,1242.8518,Bikes,Mountain Bikes,London,England
99.1172,2,647.994,Bikes,Mountain Bikes,Berks,England
297.3516,6,647.994,Bikes,Mountain Bikes,Berks,England
148.6758,3,647.994,Bikes,Mountain Bikes,Berks,England
148.6758,3,647.994,Bikes,Mountain Bikes,Berks,England
14.2004,2,20.1865,Accessories,Helmets,Berks,England
71.002,10,20.1865,Accessories,Helmets,Berks,England
49.7014,7,20.1865,Accessories,Helmets,Berks,England
151.981908,13,43.4942,Clothing,Tights,Berks,England
28.1212,2,44.994,Clothing,Tights,Berks,England
151.981908,13,43.4942,Clothing,Tights,Berks,England
-3.4716,2,5.1865,Clothing,Caps,London,England
21.3693,3,22.794,Clothing,Gloves,Suresnes,Hauts de Seine
7.1231,1,22.794,Clothing,Gloves,Suresnes,Hauts de Seine
17.5601,1,67.539,Components,Wheels,London,England
-19.3038,2,28.8404,Clothing,Jerseys,London,England
-36.4901,1,324.4527,Components,Road Frames,London,England
-67.5672,3,1229.4589,Bikes,Mountain Bikes,Suresnes,Hauts de Seine
-45.0448,2,1229.4589,Bikes,Mountain Bikes,Suresnes,Hauts de Seine
-45.5354,2,1242.8518,Bikes,Mountain Bikes,Suresnes,Hauts de Seine
-16.9126,1,469.794,Bikes,Road Bikes,London,England
-16.9126,1,469.794,Bikes,Road Bikes,London,England
-16.9126,1,469.794,Bikes,Road Bikes,London,England
-67.6504,4,469.794,Bikes,Road Bikes,London,England
14.2004,2,20.1865,Accessories,Helmets,London,England
28.1212,2,44.994,Clothing,Tights,London,England
14.0606,1,44.994,Clothing,Tights,London,England
14.2462,2,22.794,Clothing,Gloves,Orly,Val de Marne
21.3693,3,22.794,Clothing,Gloves,Orly,Val de Marne
97.2895,5,74.838,Components,Headsets,Cergy,Val d'Oise
-8.6865,3,736.1455,Components,Mountain Frames,Cergy,Val d'Oise
-2.8955,1,736.1455,Components,Mountain Frames,Cergy,Val d'Oise
-5.855,2,744.2727,Components,Mountain Frames,Cergy,Val d'Oise
-57.9114,6,28.8404,Clothing,Jerseys,Cergy,Val d'Oise
33.7462,2,53.994,Clothing,Bib-Shorts,Cergy,Val d'Oise
44.9924,4,35.994,Clothing,Shorts,Cergy,Val d'Oise
46.8734,2,209.256,Components,Mountain Frames,Cergy,Val d'Oise
-45.0448,2,1229.4589,Bikes,Mountain Bikes,Orly,Val de Marne
-22.5224,1,1229.4589,Bikes,Mountain Bikes,Cergy,Val d'Oise
-45.0448,2,1229.4589,Bikes,Mountain Bikes,Orly,Val de Marne
-45.0448,2,1229.4589,Bikes,Mountain Bikes,Cergy,Val d'Oise
-45.5354,2,1242.8518,Bikes,Mountain Bikes,Cergy,Val d'Oise
-45.5354,2,1242.8518,Bikes,Mountain Bikes,Cergy,Val d'Oise
-45.5354,2,1242.8518,Bikes,Mountain Bikes,Cergy,Val d'Oise
49.5586,1,647.994,Bikes,Mountain Bikes,Cergy,Val d'Oise
148.6758,3,647.994,Bikes,Mountain Bikes,Cergy,Val d'Oise
247.793,5,647.994,Bikes,Mountain Bikes,Cergy,Val d'Oise
148.6758,3,647.994,Bikes,Mountain Bikes,Cergy,Val d'Oise
14.0606,1,44.994,Clothing,Tights,Cergy,Val d'Oise
-246.0104,1,1308.9375,Bikes,Road Bikes,Verrieres Le Buisson,Essonne
-9.6519,1,28.8404,Clothing,Jerseys,London,England
-33.8252,2,469.794,Bikes,Road Bikes,London,England
-8.679,5,5.1865,Clothing,Caps,Bracknell,England
19.8784,4,14.1289,Clothing,Gloves,Bracknell,England
102.9788,2,198.036,Components,Wheels,Bracknell,England
-62.0607,3,183.9382,Components,Road Frames,Bracknell,England
60.6996,4,202.332,Components,Road Frames,Bracknell,England
15.1749,1,202.332,Components,Road Frames,Bracknell,England
52.6803,3,67.539,Components,Wheels,Bracknell,England
-28.9557,3,28.8404,Clothing,Jerseys,Bracknell,England
33.7462,2,53.994,Clothing,Bib-Shorts,Bracknell,England
56.2405,5,35.994,Clothing,Shorts,Bracknell,England
7.4962,2,11.994,Accessories,Pumps,Bracknell,England
-182.4505,5,324.4527,Components,Road Frames,Bracknell,England
38.7481,1,149.031,Components,Wheels,Bracknell,England
-984.0416,4,1308.9375,Bikes,Road Bikes,Bracknell,England
-738.0312,3,1308.9375,Bikes,Road Bikes,Bracknell,England
-492.0208,2,1308.9375,Bikes,Road Bikes,Bracknell,England
